ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Scalar,,FOUND
2,Vector,1,FOUND
3,Vector Notation,2,FOUND
4,2D Vector,2|3,FOUND
5,3D Vector,2|3|4,FOUND
6,N-Dimensional Vector,2|5,FOUND
7,Vector Addition,2|3,FOUND
8,Scalar Multiplication,1|2,FOUND
9,Vector Subtraction,7,FOUND
10,Dot Product,2|8,FOUND
11,Cross Product,5|10,FOUND
12,Vector Magnitude,2|10,FOUND
13,Unit Vector,12,FOUND
14,Vector Normalization,12|13,FOUND
15,Euclidean Distance,12,FOUND
16,L1 Norm,2|12,FOUND
17,L2 Norm,12|15,FOUND
18,L-Infinity Norm,2|12,FOUND
19,Linear Combination,7|8,FOUND
20,Span,19,FOUND
21,Linear Independence,19|20,FOUND
22,Linear Dependence,21,FOUND
23,Basis Vector,20|21,FOUND
24,Standard Basis,23,FOUND
25,Coordinate System,23|24,FOUND
26,Vector Space,19|21|23,FOUND
27,Dimension of Space,23|26,FOUND
28,Matrix,2,MATOP
29,Matrix Notation,28,MATOP
30,Matrix Dimensions,28|29,MATOP
31,Row Vector,2|28,MATOP
32,Column Vector,2|28,MATOP
33,Matrix Entry,28|29,MATOP
34,Matrix Addition,28|33,MATOP
35,Matrix Scalar Multiply,1|28,MATOP
36,Matrix-Vector Product,28|32|35,MATOP
37,Matrix Multiplication,36,MATOP
38,Matrix Transpose,28|31|32,MATOP
39,Symmetric Matrix,38,MATOP
40,Identity Matrix,28|37,MATOP
41,Diagonal Matrix,28|33,MATOP
42,Triangular Matrix,28|41,MATOP
43,Upper Triangular,42,MATOP
44,Lower Triangular,42,MATOP
45,Orthogonal Matrix,38|40,MATOP
46,Matrix Inverse,37|40,MATOP
47,Invertible Matrix,46,MATOP
48,Sparse Matrix,28|33,MATOP
49,Dense Matrix,28|48,MATOP
50,Block Matrix,28|30,MATOP
51,Linear Equation,1|2,LINSYS
52,System of Equations,51,LINSYS
53,Matrix Equation Form,36|52,LINSYS
54,Augmented Matrix,28|52,LINSYS
55,Gaussian Elimination,52|54,LINSYS
56,Row Operations,54|55,LINSYS
57,Row Swap,56,LINSYS
58,Row Scaling,56,LINSYS
59,Row Addition,56,LINSYS
60,Row Echelon Form,55|56,LINSYS
61,Reduced Row Echelon Form,60,LINSYS
62,Pivot Position,60,LINSYS
63,Pivot Column,62,LINSYS
64,Free Variable,61|63,LINSYS
65,Basic Variable,61|64,LINSYS
66,Solution Set,52|61,LINSYS
67,Unique Solution,66,LINSYS
68,Infinite Solutions,64|66,LINSYS
69,No Solution,66,LINSYS
70,Homogeneous System,52|53,LINSYS
71,Trivial Solution,70,LINSYS
72,Numerical Stability,55|60,LINSYS
73,Back Substitution,60|43,LINSYS
74,Function,,TRANS
75,Linear Transformation,26|74,TRANS
76,Transformation Matrix,37|75,TRANS
77,Domain,74,TRANS
78,Codomain,74|77,TRANS
79,Image,75|78,TRANS
80,Rotation Matrix,76|45,TRANS
81,2D Rotation,4|80,TRANS
82,3D Rotation,5|80,TRANS
83,Scaling Matrix,76|41,TRANS
84,Uniform Scaling,83,TRANS
85,Non-Uniform Scaling,83,TRANS
86,Shear Matrix,76,TRANS
87,Reflection Matrix,76|45,TRANS
88,Projection,75|10,TRANS
89,Orthogonal Projection,88|45,TRANS
